,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
211,100,20,1,1,32,0.95,1,0.1,0.995,0.001,-815025,"   Woman  Man
0      2   17"
212,100,20,1,1,32,0.95,1,0.001,0.985,0.0005,-752391,"   Woman  Man
0      2   17"
213,100,20,1,1,32,0.95,1,0.001,0.985,0.001,-745404,"   Woman  Man
0      2   17"
214,100,20,1,1,32,0.95,1,0.001,0.995,0.0005,-684029,"   Woman  Man
0      2   17"
215,100,20,1,1,32,0.95,1,0.001,0.995,0.001,-876089,"   Woman  Man
0      2   17"
216,100,20,1,1,32,0.95,0.5,0.1,0.985,0.0005,-680167,"   Woman  Man
0      2   17"
217,100,20,1,1,32,0.95,0.5,0.1,0.985,0.001,-658349,"   Woman  Man
0      2   17"
218,100,20,1,1,32,0.95,0.5,0.1,0.995,0.0005,-660389,"   Woman  Man
0      2   17"
219,100,20,1,1,32,0.95,0.5,0.1,0.995,0.001,-726769,"   Woman  Man
0      2   17"
220,100,20,1,1,32,0.95,0.5,0.001,0.985,0.0005,-642811,"   Woman  Man
0      2   17"
221,100,20,1,1,32,0.95,0.5,0.001,0.985,0.001,-718469,"   Woman  Man
0      2   17"
222,100,20,1,1,32,0.95,0.5,0.001,0.995,0.0005,-658349,"   Woman  Man
0      2   17"
223,100,20,1,1,32,0.95,0.5,0.001,0.995,0.001,-803130,"   Woman  Man
0      1   18"
224,100,20,1,1,32,0.99,1,0.1,0.985,0.0005,-784038,"   Woman  Man
0      2   17"
225,100,20,1,1,32,0.99,1,0.1,0.985,0.001,-766906,"   Woman  Man
0      2   17"
226,100,20,1,1,32,0.99,1,0.1,0.995,0.0005,-651463,"   Woman  Man
0      2   17"
227,100,20,1,1,32,0.99,1,0.1,0.995,0.001,-849156,"   Woman  Man
0      2   17"
228,100,20,1,1,32,0.99,1,0.001,0.985,0.0005,-675475,"   Woman  Man
0      2   17"
229,100,20,1,1,32,0.99,1,0.001,0.985,0.001,-793520,"   Woman  Man
0      1   18"
230,100,20,1,1,32,0.99,1,0.001,0.995,0.0005,-658349,"   Woman  Man
0      2   17"
231,100,20,1,1,32,0.99,1,0.001,0.995,0.001,-716801,"   Woman  Man
0      3   16"
232,100,20,1,1,32,0.99,0.5,0.1,0.985,0.0005,-701019,"   Woman  Man
0      2   17"
233,100,20,1,1,32,0.99,0.5,0.1,0.985,0.001,-750703,"   Woman  Man
0      2   17"
234,100,20,1,1,32,0.99,0.5,0.1,0.995,0.0005,-673421,"   Woman  Man
0      3   16"
235,100,20,1,1,32,0.99,0.5,0.1,0.995,0.001,-905319,"   Woman  Man
0      2   17"
236,100,20,1,1,32,0.99,0.5,0.001,0.985,0.0005,-677989,"   Woman  Man
0      2   17"
237,100,20,1,1,32,0.99,0.5,0.001,0.985,0.001,-761873,"   Woman  Man
0      3   16"
238,100,20,1,1,32,0.99,0.5,0.001,0.995,0.0005,-761799,"   Woman  Man
0      3   16"
239,100,20,1,1,32,0.99,0.5,0.001,0.995,0.001,-834008,"   Woman  Man
0      1   18"
240,100,20,1,1,64,0.9,1,0.1,0.985,0.0005,-653297,"   Woman  Man
0      2   17"
241,100,20,1,1,64,0.9,1,0.1,0.985,0.001,-719757,"   Woman  Man
0      2   17"
242,100,20,1,1,64,0.9,1,0.1,0.995,0.0005,-651257,"   Woman  Man
0      2   17"
243,100,20,1,1,64,0.9,1,0.1,0.995,0.001,-771104,"   Woman  Man
0      2   17"
244,100,20,1,1,64,0.9,1,0.001,0.985,0.0005,-658349,"   Woman  Man
0      2   17"
245,100,20,1,1,64,0.9,1,0.001,0.985,0.001,-736115,"   Woman  Man
0      2   17"
246,100,20,1,1,64,0.9,1,0.001,0.995,0.0005,-687420,"   Woman  Man
0      2   17"
247,100,20,1,1,64,0.9,1,0.001,0.995,0.001,-741896,"   Woman  Man
0      2   17"
248,100,20,1,1,64,0.9,0.5,0.1,0.985,0.0005,-685229,"   Woman  Man
0      2   17"
249,100,20,1,1,64,0.9,0.5,0.1,0.985,0.001,-658349,"   Woman  Man
0      2   17"
250,100,20,1,1,64,0.9,0.5,0.1,0.995,0.0005,-656105,"   Woman  Man
0      2   17"
251,100,20,1,1,64,0.9,0.5,0.1,0.995,0.001,-658349,"   Woman  Man
0      2   17"
252,100,20,1,1,64,0.9,0.5,0.001,0.985,0.0005,-681218,"   Woman  Man
0      2   17"
253,100,20,1,1,64,0.9,0.5,0.001,0.985,0.001,-656105,"   Woman  Man
0      2   17"
254,100,20,1,1,64,0.9,0.5,0.001,0.995,0.0005,-671632,"   Woman  Man
0      2   17"
255,100,20,1,1,64,0.9,0.5,0.001,0.995,0.001,-658349,"   Woman  Man
0      2   17"
256,100,20,1,1,64,0.95,1,0.1,0.985,0.0005,-669983,"   Woman  Man
0      2   17"
257,100,20,1,1,64,0.95,1,0.1,0.985,0.001,-729813,"   Woman  Man
0      2   17"
258,100,20,1,1,64,0.95,1,0.1,0.995,0.0005,-651257,"   Woman  Man
0      2   17"
259,100,20,1,1,64,0.95,1,0.1,0.995,0.001,-686105,"   Woman  Man
0      2   17"
260,100,20,1,1,64,0.95,1,0.001,0.985,0.0005,-702039,"   Woman  Man
0      2   17"
261,100,20,1,1,64,0.95,1,0.001,0.985,0.001,-800112,"   Woman  Man
0      2   17"
262,100,20,1,1,64,0.95,1,0.001,0.995,0.0005,-666149,"   Woman  Man
0      2   17"
263,100,20,1,1,64,0.95,1,0.001,0.995,0.001,-714865,"   Woman  Man
0      2   17"
264,100,20,1,1,64,0.95,0.5,0.1,0.985,0.0005,-675979,"   Woman  Man
0      2   17"
265,100,20,1,1,64,0.95,0.5,0.1,0.985,0.001,-766343,"   Woman  Man
0      2   17"
