,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,data
210,100,20,1,1,32,0.95,1,0.1,0.995,0.0005,-949699.3,initial_data
211,100,20,1,1,32,0.95,1,0.1,0.995,0.001,-1577714.7,initial_data
212,100,20,1,1,32,0.95,1,0.001,0.985,0.0005,-1245421.0000000002,initial_data
213,100,20,1,1,32,0.95,1,0.001,0.985,0.001,-1228781.4,initial_data
214,100,20,1,1,32,0.95,1,0.001,0.995,0.0005,-1012682.0,initial_data
215,100,20,1,1,32,0.95,1,0.001,0.995,0.001,-1726935.5,initial_data
216,100,20,1,1,32,0.95,0.5,0.1,0.985,0.0005,-1299572.2999999998,initial_data
217,100,20,1,1,32,0.95,0.5,0.1,0.985,0.001,-1641443.2000000002,initial_data
218,100,20,1,1,32,0.95,0.5,0.1,0.995,0.0005,-1381892.9,initial_data
219,100,20,1,1,32,0.95,0.5,0.1,0.995,0.001,-1475230.9000000001,initial_data
220,100,20,1,1,32,0.95,0.5,0.001,0.985,0.0005,-1216601.2,initial_data
221,100,20,1,1,32,0.95,0.5,0.001,0.985,0.001,-1136098.7999999998,initial_data
222,100,20,1,1,32,0.95,0.5,0.001,0.995,0.0005,-1140752.5,initial_data
223,100,20,1,1,32,0.95,0.5,0.001,0.995,0.001,-1757579.4,initial_data
224,100,20,1,1,32,0.99,1,0.1,0.985,0.0005,-1185869.4,initial_data
225,100,20,1,1,32,0.99,1,0.1,0.985,0.001,-1155366.0999999999,initial_data
226,100,20,1,1,32,0.99,1,0.1,0.995,0.0005,-1183181.8,initial_data
227,100,20,1,1,32,0.99,1,0.1,0.995,0.001,-1870160.5,initial_data
228,100,20,1,1,32,0.99,1,0.001,0.985,0.0005,-1205286.5,initial_data
229,100,20,1,1,32,0.99,1,0.001,0.985,0.001,-1161499.4,initial_data
230,100,20,1,1,32,0.99,1,0.001,0.995,0.0005,-1264975.3,initial_data
231,100,20,1,1,32,0.99,1,0.001,0.995,0.001,-1569215.1,initial_data
232,100,20,1,1,32,0.99,0.5,0.1,0.985,0.0005,-1206426.2,initial_data
233,100,20,1,1,32,0.99,0.5,0.1,0.985,0.001,-1598545.5,initial_data
234,100,20,1,1,32,0.99,0.5,0.1,0.995,0.0005,-1210035.9,initial_data
235,100,20,1,1,32,0.99,0.5,0.1,0.995,0.001,-1438995.0,initial_data
236,100,20,1,1,32,0.99,0.5,0.001,0.985,0.0005,-1218750.5999999999,initial_data
237,100,20,1,1,32,0.99,0.5,0.001,0.985,0.001,-1239201.3,initial_data
238,100,20,1,1,32,0.99,0.5,0.001,0.995,0.0005,-1288708.4999999998,initial_data
239,100,20,1,1,32,0.99,0.5,0.001,0.995,0.001,-1344602.5,initial_data
240,100,20,1,1,64,0.9,1,0.1,0.985,0.0005,-1264288.4000000001,initial_data
241,100,20,1,1,64,0.9,1,0.1,0.985,0.001,-1242062.8,initial_data
242,100,20,1,1,64,0.9,1,0.1,0.995,0.0005,-1259207.7999999998,initial_data
243,100,20,1,1,64,0.9,1,0.1,0.995,0.001,-1275771.8,initial_data
244,100,20,1,1,64,0.9,1,0.001,0.985,0.0005,-1262329.1,initial_data
245,100,20,1,1,64,0.9,1,0.001,0.985,0.001,-1244125.0,initial_data
246,100,20,1,1,64,0.9,1,0.001,0.995,0.0005,-1263794.2,initial_data
247,100,20,1,1,64,0.9,1,0.001,0.995,0.001,-1239668.3,initial_data
248,100,20,1,1,64,0.9,0.5,0.1,0.985,0.0005,-1206935.9000000001,initial_data
249,100,20,1,1,64,0.9,0.5,0.1,0.985,0.001,-1234586.2,initial_data
250,100,20,1,1,64,0.9,0.5,0.1,0.995,0.0005,-1257088.7,initial_data
251,100,20,1,1,64,0.9,0.5,0.1,0.995,0.001,-1235774.6,initial_data
252,100,20,1,1,64,0.9,0.5,0.001,0.985,0.0005,-1263533.0,initial_data
253,100,20,1,1,64,0.9,0.5,0.001,0.985,0.001,-1237712.8,initial_data
254,100,20,1,1,64,0.9,0.5,0.001,0.995,0.0005,-1236794.7,initial_data
255,100,20,1,1,64,0.9,0.5,0.001,0.995,0.001,-1245635.1,initial_data
256,100,20,1,1,64,0.95,1,0.1,0.985,0.0005,-1218729.3,initial_data
257,100,20,1,1,64,0.95,1,0.1,0.985,0.001,-1192591.5999999999,initial_data
258,100,20,1,1,64,0.95,1,0.1,0.995,0.0005,-1133051.7,initial_data
259,100,20,1,1,64,0.95,1,0.1,0.995,0.001,-1467858.5,initial_data
260,100,20,1,1,64,0.95,1,0.001,0.985,0.0005,-1274827.9,initial_data
261,100,20,1,1,64,0.95,1,0.001,0.985,0.001,-1238692.2,initial_data
262,100,20,1,1,64,0.95,1,0.001,0.995,0.0005,-1282020.8,initial_data
263,100,20,1,1,64,0.95,1,0.001,0.995,0.001,-1395891.9,initial_data
264,100,20,1,1,64,0.95,0.5,0.1,0.985,0.0005,-1249471.7,initial_data
265,100,20,1,1,64,0.95,0.5,0.1,0.985,0.001,-1241751.1,initial_data
266,100,20,1,1,64,0.95,0.5,0.1,0.995,0.0005,-1265040.4,initial_data
267,100,20,1,1,64,0.95,0.5,0.1,0.995,0.001,-1245914.2,initial_data
268,100,20,1,1,64,0.95,0.5,0.001,0.985,0.0005,-1252757.5000000002,initial_data
269,100,20,1,1,64,0.95,0.5,0.001,0.985,0.001,-1300964.3,initial_data
270,100,20,1,1,64,0.95,0.5,0.001,0.995,0.0005,-1145011.0,initial_data
271,100,20,1,1,64,0.95,0.5,0.001,0.995,0.001,-1232215.1,initial_data
272,100,20,1,1,64,0.99,1,0.1,0.985,0.0005,-1223505.9000000001,initial_data
273,100,20,1,1,64,0.99,1,0.1,0.985,0.001,-1253714.6,initial_data
274,100,20,1,1,64,0.99,1,0.1,0.995,0.0005,-1208883.8,initial_data
275,100,20,1,1,64,0.99,1,0.1,0.995,0.001,-1405911.8,initial_data
276,100,20,1,1,64,0.99,1,0.001,0.985,0.0005,-1074681.3,initial_data
277,100,20,1,1,64,0.99,1,0.001,0.985,0.001,-1199736.5,initial_data
278,100,20,1,1,64,0.99,1,0.001,0.995,0.0005,-1565243.2000000002,initial_data
279,100,20,1,1,64,0.99,1,0.001,0.995,0.001,-1493794.3,initial_data
280,100,20,1,1,64,0.99,0.5,0.1,0.985,0.0005,-1095165.9,initial_data
281,100,20,1,1,64,0.99,0.5,0.1,0.985,0.001,-1245564.0,initial_data
282,100,20,1,1,64,0.99,0.5,0.1,0.995,0.0005,-1177907.8,initial_data
283,100,20,1,1,64,0.99,0.5,0.1,0.995,0.001,-1218730.8,initial_data
284,100,20,1,1,64,0.99,0.5,0.001,0.985,0.0005,-1250278.0,initial_data
285,100,20,1,1,64,0.99,0.5,0.001,0.985,0.001,-1494423.7999999998,initial_data
286,100,20,1,1,64,0.99,0.5,0.001,0.995,0.0005,-1163641.6,initial_data
287,100,20,1,1,64,0.99,0.5,0.001,0.995,0.001,-1281559.5,initial_data
288,100,50,1,1,16,0.9,1,0.1,0.985,0.0005,-6955410.7,initial_data
289,100,50,1,1,16,0.9,1,0.1,0.985,0.001,-8343093.9,initial_data
290,100,50,1,1,16,0.9,1,0.1,0.995,0.0005,-7658168.700000001,initial_data
291,100,50,1,1,16,0.9,1,0.1,0.995,0.001,-7223229.2,initial_data
292,100,50,1,1,16,0.9,1,0.001,0.985,0.0005,-7011564.2,initial_data
293,100,50,1,1,16,0.9,1,0.001,0.985,0.001,-7393121.1,initial_data
294,100,50,1,1,16,0.9,1,0.001,0.995,0.0005,-6186969.6,initial_data
295,100,50,1,1,16,0.9,1,0.001,0.995,0.001,-7885439.600000001,initial_data
296,100,50,1,1,16,0.9,0.5,0.1,0.985,0.0005,-8196137.799999999,initial_data
297,100,50,1,1,16,0.9,0.5,0.1,0.985,0.001,-8233710.3,initial_data
298,100,50,1,1,16,0.9,0.5,0.1,0.995,0.0005,-7960225.200000003,initial_data
299,100,50,1,1,16,0.9,0.5,0.1,0.995,0.001,-7641672.000000001,initial_data
