,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
97,100,10,1,1,64,0.9,1,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
98,100,10,1,1,64,0.9,1,0.1,0.995,0.0005,-101572,"   Woman  Man
0      0    7"
99,100,10,1,1,64,0.9,1,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
100,100,10,1,1,64,0.9,1,0.001,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
101,100,10,1,1,64,0.9,1,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
102,100,10,1,1,64,0.9,1,0.001,0.995,0.0005,-101572,"   Woman  Man
0      0    7"
103,100,10,1,1,64,0.9,1,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
104,100,10,1,1,64,0.9,0.5,0.1,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
105,100,10,1,1,64,0.9,0.5,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
106,100,10,1,1,64,0.9,0.5,0.1,0.995,0.0005,-101572,"   Woman  Man
0      0    7"
107,100,10,1,1,64,0.9,0.5,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
108,100,10,1,1,64,0.9,0.5,0.001,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
109,100,10,1,1,64,0.9,0.5,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
110,100,10,1,1,64,0.9,0.5,0.001,0.995,0.0005,-115268,"   Woman  Man
0      0    7"
111,100,10,1,1,64,0.9,0.5,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
112,100,10,1,1,64,0.95,1,0.1,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
113,100,10,1,1,64,0.95,1,0.1,0.985,0.001,-105572,"   Woman  Man
0      1    6"
114,100,10,1,1,64,0.95,1,0.1,0.995,0.0005,-115268,"   Woman  Man
0      0    7"
115,100,10,1,1,64,0.95,1,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
116,100,10,1,1,64,0.95,1,0.001,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
117,100,10,1,1,64,0.95,1,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
118,100,10,1,1,64,0.95,1,0.001,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
119,100,10,1,1,64,0.95,1,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
120,100,10,1,1,64,0.95,0.5,0.1,0.985,0.0005,-111211,"   Woman  Man
0      1    6"
121,100,10,1,1,64,0.95,0.5,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
122,100,10,1,1,64,0.95,0.5,0.1,0.995,0.0005,-109072,"   Woman  Man
0      1    6"
123,100,10,1,1,64,0.95,0.5,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
124,100,10,1,1,64,0.95,0.5,0.001,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
125,100,10,1,1,64,0.95,0.5,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
126,100,10,1,1,64,0.95,0.5,0.001,0.995,0.0005,-134826,"   Woman  Man
0      0    8"
127,100,10,1,1,64,0.95,0.5,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
128,100,10,1,1,64,0.99,1,0.1,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
129,100,10,1,1,64,0.99,1,0.1,0.985,0.001,-105572,"   Woman  Man
0      1    6"
130,100,10,1,1,64,0.99,1,0.1,0.995,0.0005,-162197,"   Woman  Man
0      1    7"
131,100,10,1,1,64,0.99,1,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
132,100,10,1,1,64,0.99,1,0.001,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
133,100,10,1,1,64,0.99,1,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
134,100,10,1,1,64,0.99,1,0.001,0.995,0.0005,-115568,"   Woman  Man
0      1    7"
135,100,10,1,1,64,0.99,1,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
136,100,10,1,1,64,0.99,0.5,0.1,0.985,0.0005,-110072,"   Woman  Man
0      1    6"
137,100,10,1,1,64,0.99,0.5,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
